Player,Player ID,Date of Birth,Team,TOI (sec),TOI (min),Total Games played,Total TOI/GP (sec),Total TOI/GP (min),G,A,PTS,+/-,S,Sh%,Position,Expected Goals For WOI,Actual to Expected Goals For WOI,Expected Goals Against WOI,Actual to Expected Goals Against WOI,Shot Attempts For WOI,Corsi Ratio,Shot Attempts Against WOI,Shots On Net For WOI,Shots On Net Ratio,Shots On Net Against WOI,Inner Slot Shots On Net For WOI,Inner Slot Shots On Net Against WOI,Inner Slot Shots On Net Corsi Ratio,Successful Pass to Slot For WOI,Successful Pass to Slot Against WOI,DZ Rebound Recovery Rate WOI,Successful OZ Rebound LPRs Against WOI
Reilly Smith,8475191,1991-04-01,PIT,73575.25,1226:15,76,968.095394736842,16:08,13,27,40,4,150,0.08666666666666667,F,68.82268476963581,-14.8226847696358,50.5318706566476,-7.531870656647603,1267.0,0.530791788856305,1120.0,657.0,0.5298387096774193,583.0,165.0,115.0,0.5892857142857143,357.0,246.0,0.5189504373177842,165.0
Morgan Geekie,8479987,1998-07-20,BOS,70240.06666666665,1170:40,76,924.2114035087716,15:24,17,22,39,6,129,0.13178294573643412,F,68.32387574555013,-0.3238757455501005,50.58860803883312,-12.588608038833105,1088.0,0.4883303411131059,1140.0,633.0,0.5163132137030995,593.0,174.0,118.0,0.5958904109589042,293.0,230.0,0.5438066465256798,152.0
Luke Evangelista,8482146,2002-02-21,NSH,66897.61,1114:58,80,836.220125,13:56,16,23,39,0,166,0.0963855421686747,F,70.46648286729557,-5.466482867295589,39.59339681151076,-0.5933968115107902,1322.0,0.6061439706556625,859.0,705.0,0.6046312178387651,461.0,171.0,94.0,0.6452830188679245,386.0,182.0,0.516245487364621,133.0
Mikael Backlund,8474150,1989-03-17,CGY,94829.09333333337,1580:29,82,1156.4523577235775,19:16,15,24,39,-3,217,0.06912442396313365,F,77.30720688861676,-16.307206888616818,91.29358228834596,-2.293582288345903,1601.0,0.5101975780752072,1537.0,855.0,0.5116696588868941,816.0,166.0,220.0,0.4300518134715025,402.0,499.0,0.505720823798627,215.0
Scott Laughton,8476872,1994-05-30,PHI,77059.76666666666,1284:20,82,939.7532520325204,15:40,13,26,39,-10,167,0.07784431137724551,F,60.50168880198981,-3.501688801989806,71.49592165437696,5.504078345623029,1180.0,0.4533230887437572,1423.0,680.0,0.4923968139029688,701.0,133.0,154.0,0.4634146341463415,242.0,374.0,0.4952830188679245,213.0
Evan Rodrigues,8478542,1993-07-28,FLA,72818.06666666664,1213:38,80,910.225833333333,15:10,12,27,39,25,197,0.06091370558375635,F,74.41785484880387,-10.41785484880394,38.96263108305377,-10.962631083053788,1496.0,0.6217788861180382,910.0,800.0,0.6125574272588055,506.0,177.0,89.0,0.6654135338345865,352.0,175.0,0.6307692307692307,120.0
Jake Neighbours,8482089,2002-03-29,STL,72542.21666666669,1209:02,77,942.1067099567102,15:42,27,11,38,-16,139,0.19424460431654678,F,64.96599245850672,2.034007541493263,56.12177246382621,-8.121772463826264,1200.0,0.5012531328320802,1194.0,632.0,0.491828793774319,653.0,156.0,126.0,0.5531914893617021,348.0,269.0,0.5112359550561798,174.0
Cole Perfetti,8482149,2002-01-01,WPG,57798.03999999999,963:18,71,814.0569014084507,13:34,19,19,38,13,144,0.13194444444444445,F,54.65223434385681,3.347765656143236,30.41141076935164,-5.4114107693516225,1006.0,0.5945626477541371,686.0,573.0,0.610223642172524,366.0,122.0,67.0,0.6455026455026455,264.0,153.0,0.5734597156398105,92.0
Tomas Hertl,8476881,1993-11-12,VGK,66422.78666666665,1107:03,54,1230.051604938271,20:30,17,21,38,-28,123,0.13821138211382114,F,55.54220340856504,-5.54220340856507,64.00870492514125,2.991295074858775,1148.0,0.4989135158626684,1153.0,572.0,0.48107653490328,617.0,124.0,124.0,0.5,319.0,302.0,0.438235294117647,191.0
James van Riemsdyk,8474037,1989-05-04,BOS,57550.02333333334,959:10,71,810.5637089201879,13:31,11,27,38,7,135,0.08148148148148149,F,68.25818340482667,-14.258183404826688,36.10593418311553,-12.105934183115524,1076.0,0.5711252653927813,808.0,599.0,0.5804263565891473,433.0,161.0,86.0,0.6518218623481782,318.0,172.0,0.5450980392156862,116.0
Sean Couturier,8476461,1992-12-07,PHI,79140.64333333333,1319:01,74,1069.468153153153,17:49,11,27,38,-10,195,0.05641025641025641,F,70.39817628510968,-2.3981762851096464,57.2941085824316,5.705891417568349,1543.0,0.5842483907610754,1098.0,820.0,0.6002928257686676,546.0,152.0,142.0,0.5170068027210885,366.0,296.0,0.5145631067961165,149.0
Anders Lee,8475314,1990-07-03,NYI,75624.17,1260:24,81,933.6317283950616,15:34,20,17,37,2,188,0.10638297872340426,F,78.67008909582331,-11.670089095823313,58.019635295522605,-15.019635295522631,1500.0,0.5385996409335727,1285.0,792.0,0.5585331452750353,626.0,205.0,131.0,0.6101190476190477,343.0,283.0,0.553763440860215,165.0
Nick Foligno,8473422,1987-10-31,CHI,79001.76333333337,1316:42,74,1067.591396396397,17:48,17,20,37,-28,135,0.1259259259259259,F,64.18935728644185,2.8106427135581433,63.94912870635817,12.050871293641825,1167.0,0.4830298013245033,1249.0,630.0,0.481283422459893,679.0,142.0,143.0,0.4982456140350877,306.0,411.0,0.5408970976253298,174.0
Rickard Rakell,8476483,1993-05-05,PIT,69306.03333333333,1155:06,70,990.0861904761904,16:30,15,22,37,4,167,0.08982035928143713,F,81.99277363692728,-9.992773636927312,50.14570037694182,2.8542996230581905,1405.0,0.5999146029035013,937.0,732.0,0.5828025477707006,524.0,190.0,119.0,0.6148867313915858,394.0,201.0,0.5086505190311419,142.0
Matthew Beniers,8482665,2002-11-05,SEA,82997.87666666668,1383:18,77,1077.8945021645022,17:58,15,22,37,-11,134,0.11194029850746269,F,67.6665577277153,-8.66655772771528,45.84188091203023,0.1581190879697151,1431.0,0.5665083135391924,1095.0,718.0,0.5394440270473329,613.0,143.0,108.0,0.5697211155378487,359.0,222.0,0.463258785942492,168.0
Stefan Noesen,8476474,1993-02-12,CAR,57672.54333333336,961:13,81,712.0067078189303,11:52,14,23,37,11,110,0.12727272727272726,F,52.659094333762745,5.340905666237299,31.3905043305413,-4.390504330541298,1171.0,0.6549217002237137,617.0,589.0,0.6340150699677072,340.0,118.0,81.0,0.592964824120603,283.0,149.0,0.5595854922279793,86.0
Vladislav Namestnikov,8476480,1992-11-22,WPG,67612.56999999999,1126:53,78,866.8278205128204,14:27,11,26,37,17,91,0.12087912087912088,F,53.751863054849,7.248136945151037,52.374101367252486,-5.3741013672525,1031.0,0.5093873517786561,993.0,593.0,0.523851590106007,539.0,122.0,115.0,0.5147679324894515,254.0,272.0,0.4887459807073955,160.0
Nils Höglander,8481535,2000-12-20,VAN,58045.70999999999,967:26,80,725.5713749999999,12:06,24,12,36,24,117,0.20512820512820512,F,41.27617704838206,12.72382295161796,35.560598193615924,-6.56059819361591,930.0,0.5448154657293497,777.0,484.0,0.5348066298342542,421.0,108.0,85.0,0.5595854922279793,193.0,167.0,0.5348837209302325,120.0
Gabriel Vilardi,8480014,1999-08-16,WPG,47964.23,799:24,47,1020.5155319148936,17:01,22,14,36,11,103,0.21359223300970873,F,54.66533354766535,-0.6653335476653401,32.5740678480545,-4.57406784805449,886.0,0.5730918499353169,660.0,486.0,0.5704225352112676,366.0,133.0,84.0,0.6129032258064516,282.0,138.0,0.4864864864864865,114.0
Alex Killorn,8473986,1989-09-14,ANA,70749.10333333336,1179:09,63,1123.0016402116407,18:43,18,18,36,-15,150,0.12,F,60.31397374609125,-7.313973746091205,62.02708707689934,0.9729129231006204,1164.0,0.527891156462585,1041.0,606.0,0.5118243243243243,578.0,128.0,155.0,0.4522968197879858,289.0,277.0,0.4954954954954955,168.0
Danton Heinen,8478046,1995-07-05,BOS,64179.10333333334,1069:39,74,867.2851801801803,14:27,17,19,36,16,122,0.13934426229508196,F,49.814695764898296,2.1853042351017424,53.202485932266,-13.202485932266002,913.0,0.4558162755866201,1090.0,516.0,0.4669683257918552,589.0,122.0,124.0,0.4959349593495935,224.0,241.0,0.5028571428571429,174.0
Mason Appleton,8478891,1996-01-15,WPG,78942.48,1315:42,82,962.7131707317072,16:03,14,22,36,17,128,0.109375,F,55.479700058132934,-9.479700058132932,65.9909740204345,-16.990974020434503,1127.0,0.4458069620253164,1401.0,630.0,0.4615384615384615,735.0,132.0,156.0,0.4583333333333333,269.0,382.0,0.4736842105263157,240.0
Boone Jenner,8476432,1993-06-15,CBJ,70040.90666666668,1167:21,58,1207.60183908046,20:08,22,13,35,-6,161,0.13664596273291926,F,62.96350814607692,-8.963508146076888,60.23802936071007,-4.238029360710068,1301.0,0.5179140127388535,1211.0,640.0,0.4919292851652574,661.0,121.0,135.0,0.47265625,324.0,353.0,0.5501222493887531,183.0
Jason Dickinson,8477450,1995-07-04,CHI,81667.03333333334,1361:07,82,995.9394308943092,16:36,22,13,35,6,122,0.18032786885245902,F,50.13664631546997,4.863353684530055,66.21984686297083,-2.2198468629708143,1082.0,0.4445357436318817,1352.0,574.0,0.4463452566096423,712.0,117.0,142.0,0.4517374517374517,216.0,433.0,0.5627906976744186,187.0
Tom Wilson,8476880,1994-03-29,WSH,80415.44666666667,1340:15,74,1086.6952252252252,18:07,18,17,35,-19,161,0.11180124223602485,F,68.18739077114158,-17.187390771141626,63.42400421629512,1.5759957837049043,1326.0,0.5080459770114942,1284.0,685.0,0.5062823355506282,668.0,165.0,148.0,0.5271565495207667,372.0,328.0,0.5013262599469496,187.0
Dylan Guenther,8482699,2003-04-10,ARI,43949.38333333331,732:29,45,976.6529629629624,16:17,18,17,35,-1,134,0.13432835820895522,F,44.6578052153736,5.342194784626408,31.97623751689041,4.023762483109583,794.0,0.5568022440392707,632.0,446.0,0.5554171855541719,357.0,87.0,77.0,0.5304878048780488,290.0,152.0,0.535,93.0
Erik Haula,8475287,1991-03-23,NJD,77027.64,1283:48,76,1013.5215789473684,16:54,16,19,35,0,159,0.10062893081761007,F,59.332948724042055,-9.332948724042073,69.26133735780061,-1.2613373578005538,1202.0,0.4876267748478702,1263.0,637.0,0.484779299847793,677.0,142.0,162.0,0.4671052631578947,262.0,361.0,0.5253807106598984,187.0
Colton Sissons,8476925,1993-11-05,NSH,80668.93333333335,1344:29,81,995.9127572016464,16:36,15,20,35,-8,127,0.11811023622047244,F,72.70669718027739,-8.706697180277484,71.57805092662663,7.421949073373353,1276.0,0.4917148362235067,1319.0,693.0,0.4849545136459062,736.0,179.0,171.0,0.5114285714285715,363.0,320.0,0.4941724941724941,215.0
Matthew Knies,8482720,2002-10-17,TOR,65537.67333333334,1092:18,80,819.2209166666667,13:39,15,20,35,8,117,0.1282051282051282,F,56.63900002938601,0.360999970613974,49.31136375632124,3.688636243678733,1056.0,0.5007112375533428,1053.0,571.0,0.5121076233183857,544.0,137.0,118.0,0.5372549019607843,300.0,213.0,0.4815950920245399,169.0
Anton Lundell,8482113,2001-10-03,FLA,71978.41333333334,1199:38,78,922.8001709401713,15:23,13,22,35,17,157,0.08280254777070063,F,57.11780270396512,-8.117802703965099,45.32586380831381,-9.325863808313796,1321.0,0.5721091381550455,988.0,674.0,0.5598006644518272,530.0,135.0,109.0,0.5532786885245902,268.0,209.0,0.5961538461538461,126.0
Adam Lowry,8476392,1993-03-29,WPG,78383.04999999999,1306:23,81,967.691975308642,16:08,12,23,35,16,119,0.10084033613445378,F,59.261699904990294,-15.261699904990332,63.88968424993232,-13.88968424993229,1155.0,0.4631114675220529,1339.0,654.0,0.4819454679439941,703.0,144.0,136.0,0.5142857142857142,272.0,392.0,0.4727722772277227,213.0
Mathieu Joseph,8478472,1997-02-09,OTT,71071.10666666667,1184:31,72,987.0987037037036,16:27,11,24,35,-7,126,0.0873015873015873,F,50.11828888355715,-2.118288883557113,60.3154486491028,13.684551350897152,1003.0,0.4630655586334257,1163.0,551.0,0.4812227074235808,594.0,108.0,146.0,0.4251968503937008,234.0,303.0,0.521875,153.0
Nino Niederreiter,8475799,1992-09-08,WPG,69038.80666666667,1150:39,77,896.6078787878788,14:57,18,16,34,13,160,0.1125,F,57.770800665249986,-7.770800665250033,37.19921115757448,-9.199211157574476,1168.0,0.5514636449480642,950.0,624.0,0.55863921217547,493.0,141.0,87.0,0.618421052631579,286.0,229.0,0.5373665480427047,130.0
Dmitri Voronkov,8481716,2000-09-10,CBJ,60609.28333333332,1010:09,75,808.1237777777776,13:28,18,16,34,-7,127,0.14173228346456693,F,57.743498591829606,2.256501408170395,43.92342420319913,-4.923424203199154,1162.0,0.5543893129770993,934.0,610.0,0.5485611510791367,502.0,136.0,111.0,0.5506072874493927,250.0,207.0,0.4820846905537459,159.0
Artturi Lehkonen,8477476,1995-07-04,COL,49898.23333333333,831:38,45,1108.8496296296296,18:29,16,18,34,11,100,0.16,F,57.877502955612144,4.122497044387894,34.24416510696858,1.755834893031401,972.0,0.5887341005451242,679.0,529.0,0.579408543263965,384.0,122.0,84.0,0.5922330097087378,305.0,181.0,0.5384615384615384,101.0
Alex Newhook,8481618,2001-01-28,MTL,55805.48,930:05,55,1014.6450909090908,16:55,15,19,34,-14,90,0.16666666666666666,F,51.934349375786134,3.0656506242138644,43.80699534178732,2.193004658212717,904.0,0.5124716553287982,860.0,463.0,0.4989224137931034,465.0,110.0,97.0,0.5314009661835749,298.0,197.0,0.588,104.0
Connor Zary,8482074,2001-09-25,CGY,57674.550000000025,961:15,63,915.469047619048,15:15,14,20,34,11,97,0.14432989690721648,F,55.273214247831675,-1.2732142478316342,37.34965957609622,-6.349659576096211,1105.0,0.5809674027339643,797.0,583.0,0.5726915520628684,435.0,126.0,88.0,0.5887850467289719,262.0,147.0,0.5975609756097561,98.0
Dawson Mercer,8482110,2001-10-27,NJD,84704.41666666666,1411:44,82,1032.9806910569105,17:13,20,13,33,-27,133,0.15037593984962405,F,63.33389373880041,-11.333893738800404,73.96547778796877,6.034522212031215,1275.0,0.4787833270747277,1388.0,655.0,0.4739507959479015,727.0,152.0,164.0,0.4810126582278481,284.0,349.0,0.4864864864864865,228.0
Tyson Foerster,8482159,2002-01-18,PHI,79728.78333333334,1328:49,77,1035.4387445887446,17:15,20,13,33,-2,168,0.11904761904761904,F,74.17229574161608,-3.1722957416160806,47.06134311518208,2.938656884817921,1532.0,0.5854031333588078,1085.0,811.0,0.6116138763197587,515.0,160.0,103.0,0.6083650190114068,342.0,233.0,0.5709219858156028,121.0
Connor McMichael,8481580,2001-01-15,WSH,76747.07666666666,1279:07,80,959.3384583333332,15:59,18,15,33,-20,138,0.13043478260869565,F,51.25747369124121,-5.257473691241234,62.401002652628144,-0.401002652628138,1063.0,0.4447698744769874,1327.0,536.0,0.4407894736842105,680.0,125.0,140.0,0.4716981132075472,293.0,334.0,0.52,179.0
Drew O'Connor,8482055,1998-06-09,PIT,74528.72666666667,1242:09,79,943.4016033755277,15:43,16,17,33,14,145,0.1103448275862069,F,55.58759867600012,-3.58759867600013,68.43997386426908,-10.439973864269026,1136.0,0.4686468646864686,1288.0,621.0,0.4870588235294117,654.0,138.0,154.0,0.4726027397260274,248.0,323.0,0.5025773195876289,193.0
Andrew Copp,8477429,1994-07-08,DET,77175.69333333331,1286:16,79,976.9075105485232,16:17,13,20,33,0,111,0.11711711711711711,F,47.83981171100908,9.160188288990906,79.9914827473882,1.0085172526117812,994.0,0.4016161616161616,1481.0,535.0,0.4134466769706337,759.0,120.0,182.0,0.3973509933774834,239.0,409.0,0.5138888888888888,209.0
Michael Rasmussen,8479992,1999-04-17,DET,68309.31666666665,1138:29,75,910.7908888888888,15:11,13,20,33,9,105,0.12380952380952381,F,42.71044724416951,3.2895527558305044,56.785046146382,-4.785046146381991,868.0,0.3990804597701149,1307.0,460.0,0.416289592760181,645.0,103.0,126.0,0.4497816593886463,191.0,309.0,0.5268817204301075,175.0
Jean-Gabriel Pageau,8476419,1992-11-11,NYI,78375.28000000003,1306:15,82,955.796097560976,15:56,11,22,33,-8,106,0.10377358490566038,F,54.55868661674921,-3.558686616749235,83.47016724612946,-8.470167246129455,1112.0,0.4133828996282528,1578.0,549.0,0.4084821428571428,795.0,151.0,193.0,0.438953488372093,245.0,393.0,0.5193482688391039,235.0
Yanni Gourde,8476826,1991-12-15,SEA,83618.48333333332,1393:38,80,1045.231041666667,17:25,11,22,33,-10,148,0.07432432432432433,F,55.85302926896591,-9.853029268965958,71.32455900536516,-3.3245590053651126,1355.0,0.4914762422923467,1402.0,695.0,0.4789800137835975,756.0,117.0,130.0,0.4736842105263157,277.0,388.0,0.5506912442396313,195.0
Dakota Joshua,8478057,1996-05-15,VAN,54405.96666666667,906:46,63,863.5867724867725,14:24,18,14,32,19,79,0.22784810126582278,F,39.541616784747504,-0.5416167847474986,42.92770441941553,-10.927704419415528,723.0,0.4631646380525304,838.0,407.0,0.4625,473.0,106.0,104.0,0.5047619047619047,188.0,207.0,0.479020979020979,150.0
Robby Fabbri,8477952,1996-01-22,DET,52436.87333333333,873:57,68,771.1304901960783,12:51,18,14,32,-13,100,0.18,F,47.12728676667605,3.8727132333239056,39.032428389334704,1.967571610665296,862.0,0.4931350114416476,886.0,467.0,0.4879832810867293,490.0,115.0,94.0,0.5502392344497608,273.0,184.0,0.5426621160409556,133.0
Jordan Martinook,8476921,1992-07-25,CAR,71971.33666666666,1199:31,82,877.6992276422764,14:38,14,18,32,0,169,0.08284023668639054,F,51.16540787248643,-7.16540787248642,45.12580520746059,10.874194792539432,1302.0,0.5833333333333334,930.0,617.0,0.5538599640933572,497.0,133.0,125.0,0.5155038759689923,245.0,224.0,0.5402298850574713,122.0
Jason Zucker,8475722,1992-01-16,NSH,57089.40999999999,951:29,69,827.3827536231883,13:47,14,18,32,-11,148,0.0945945945945946,F,51.01765891765049,-4.017658917650468,42.65235416304152,-0.6523541630414693,946.0,0.5229408512990602,863.0,524.0,0.512218963831867,499.0,120.0,100.0,0.5454545454545454,310.0,194.0,0.5627240143369175,123.0
Cole Sillinger,8482705,2003-05-16,CBJ,74496.20666666668,1241:36,77,967.4832034632036,16:07,13,19,32,-4,154,0.08441558441558442,F,51.349782675106965,-1.3497826751070017,78.09497783696939,-4.094977836969405,1135.0,0.4449235593884751,1416.0,614.0,0.4366998577524893,792.0,113.0,155.0,0.4216417910447761,231.0,397.0,0.476890756302521,249.0
Tyler Johnson,8474870,1990-07-29,CHI,62514.39999999997,1041:54,67,933.0507462686564,15:33,17,14,31,-35,118,0.1440677966101695,F,50.68237390660742,-7.68237390660742,47.06599802666999,-0.0659980266699909,996.0,0.5012581781580272,991.0,511.0,0.4875954198473282,537.0,104.0,114.0,0.4770642201834862,241.0,268.0,0.5207100591715976,163.0
Brendan Gallagher,8475848,1992-05-06,MTL,63628.469999999994,1060:28,77,826.3437662337661,13:46,16,15,31,-24,139,0.11510791366906475,F,50.44729805721906,-11.44729805721903,48.751985705949814,3.248014294050227,1078.0,0.5177713736791547,1004.0,535.0,0.5119617224880383,510.0,133.0,120.0,0.525691699604743,281.0,247.0,0.4863013698630137,150.0
Lars Eller,8474189,1989-05-08,PIT,78551.16333333336,1309:11,82,957.941016260163,15:58,15,16,31,-1,155,0.0967741935483871,F,54.15181269109117,-9.15181269109118,65.34395640821923,-3.343956408219209,1220.0,0.4829770387965162,1306.0,631.0,0.4910505836575875,654.0,128.0,133.0,0.4904214559386973,292.0,347.0,0.4824797843665768,192.0
Ondrej Palat,8476292,1991-03-28,NJD,66719.47333333336,1111:59,71,939.7108920187796,15:40,11,20,31,-11,109,0.10091743119266056,F,62.63063978384099,-15.630639783840971,47.49200724822291,-2.492007248222923,1205.0,0.5570966250577901,958.0,628.0,0.5446660884648742,525.0,132.0,116.0,0.532258064516129,290.0,221.0,0.5234899328859061,142.0
Ilya Mikheyev,8481624,1994-10-10,VAN,66696.16333333334,1111:36,78,855.0790170940172,14:15,11,20,31,2,149,0.0738255033557047,F,49.232066481846786,-5.232066481846755,44.72421153235114,-0.7242115323511074,1026.0,0.5248081841432225,929.0,529.0,0.5106177606177607,507.0,125.0,118.0,0.51440329218107,229.0,229.0,0.5238095238095238,140.0
Jack Roslovic,8478458,1997-01-29,NYR,55040.01333333334,917:20,59,932.881581920904,15:33,9,22,31,-9,113,0.07964601769911504,F,45.34445374649705,-0.3444537464970179,48.34817529940259,3.651824700597412,968.0,0.5118984664198837,923.0,514.0,0.4980620155038759,518.0,99.0,103.0,0.4900990099009901,225.0,253.0,0.550314465408805,143.0
Josh Norris,8480064,1999-05-05,OTT,53010.17666666664,883:30,50,1060.2035333333329,17:40,16,14,30,-7,112,0.14285714285714285,F,52.694868767379184,-5.694868767379176,36.50249285381661,4.497507146183394,992.0,0.5629965947786606,770.0,535.0,0.5721925133689839,400.0,115.0,88.0,0.5665024630541872,284.0,188.0,0.5442477876106194,103.0
Jaden Schwartz,8475768,1992-06-25,SEA,60904.54333333331,1015:05,62,982.3313440860212,16:22,13,17,30,-14,114,0.11403508771929824,F,48.206579281366466,2.79342071863351,36.70909538304593,-0.7090953830459508,1052.0,0.563169164882227,816.0,532.0,0.533066132264529,466.0,108.0,85.0,0.5595854922279793,269.0,165.0,0.5330578512396694,113.0
Ryan Donato,8477987,1996-04-09,CHI,65404.56666666666,1090:05,78,838.5200854700854,13:59,12,18,30,-14,146,0.0821917808219178,F,50.054882145645614,-10.054882145645603,53.14107279284099,-2.1410727928410256,971.0,0.4840478564307078,1035.0,552.0,0.4919786096256685,570.0,124.0,136.0,0.4769230769230769,194.0,283.0,0.5768194070080862,157.0
Ryan McLeod,8480802,1999-09-21,EDM,69182.62666666668,1153:03,81,854.1065020576133,14:14,12,18,30,9,106,0.11320754716981132,F,54.0641058620264,-7.064105862026454,46.481319049509615,-4.481319049509578,1134.0,0.5451923076923076,946.0,619.0,0.552185548617306,502.0,120.0,104.0,0.5357142857142857,271.0,254.0,0.5512820512820513,140.0
Alexandre Texier,8480074,1999-09-13,CBJ,71000.5166666667,1183:21,78,910.2630341880348,15:10,12,18,30,-8,117,0.10256410256410256,F,47.98191720298136,-2.981917202981308,76.97828060651926,-8.978280606519213,1119.0,0.4461722488038278,1389.0,576.0,0.4295302013422818,765.0,104.0,174.0,0.3741007194244604,188.0,407.0,0.4955947136563877,229.0
Marcus Johansson,8475149,1990-10-06,MIN,74319.96,1238:40,78,952.8200000000002,15:53,11,19,30,-15,119,0.09243697478991597,F,64.46350849398098,-13.463508493980934,45.54121576836498,7.458784231635035,1300.0,0.5478297513695743,1073.0,695.0,0.5511498810467883,566.0,144.0,101.0,0.5877551020408164,346.0,210.0,0.525,153.0
Zachary Benson,8484145,2005-05-12,BUF,61747.316666666666,1029:07,71,869.6805164319248,14:30,11,19,30,-3,89,0.12359550561797752,F,48.88364594670483,-6.883645946704819,48.375516394939545,-0.3755163949395427,1032.0,0.5466101694915254,856.0,559.0,0.5443037974683544,468.0,105.0,117.0,0.4729729729729729,248.0,253.0,0.5444015444015444,118.0
Alexander Wennberg,8477505,1994-09-22,NYR,85341.98666666666,1422:22,79,1080.2783122362869,18:00,10,20,30,-1,87,0.11494252873563218,F,61.92806573047707,8.071934269522927,76.68495900945054,-4.68495900945047,1260.0,0.4543815362423368,1513.0,675.0,0.4661602209944751,773.0,141.0,154.0,0.4779661016949152,282.0,427.0,0.4813186813186813,236.0
Jordan Staal,8473533,1988-09-10,CAR,74015.62333333335,1233:36,80,925.1952916666668,15:25,10,20,30,-12,118,0.0847457627118644,F,56.317149556469566,-16.317149556469516,53.77093569000151,10.229064309998456,1372.0,0.5740585774058578,1018.0,650.0,0.5319148936170213,572.0,151.0,142.0,0.515358361774744,253.0,298.0,0.554140127388535,143.0
Michael Carcone,8479619,1996-05-19,ARI,50084.246666666666,834:44,74,676.8141441441442,11:17,21,8,29,-3,116,0.1810344827586207,F,36.42856107140175,5.571438928598234,41.445313744008835,-2.445313744008827,779.0,0.4687123947051745,883.0,396.0,0.4578034682080925,469.0,91.0,93.0,0.4945652173913043,184.0,169.0,0.4776119402985074,140.0
Yegor Chinakhov,8482475,2001-02-01,CBJ,48323.97666666666,805:24,53,911.773144654088,15:12,16,13,29,-2,119,0.13445378151260504,F,42.35669421025088,3.6433057897491192,36.151155856666186,-1.15115585666621,873.0,0.5352544451256898,758.0,456.0,0.5223367697594502,417.0,88.0,86.0,0.5057471264367817,177.0,181.0,0.4765625,134.0
Pius Suter,8480459,1996-05-24,VAN,62294.046666666654,1038:14,67,929.7618905472634,15:30,14,15,29,17,95,0.14736842105263157,F,46.906527436450936,6.093472563549018,40.869158399664975,-7.86915839966496,980.0,0.5499438832772167,802.0,498.0,0.5112936344969199,476.0,108.0,100.0,0.5192307692307693,258.0,186.0,0.5173611111111112,140.0
Kevin Hayes,8475763,1992-05-08,STL,68499.88666666664,1141:40,79,867.0871729957802,14:27,13,16,29,0,155,0.08387096774193549,F,49.72110830282037,-5.721108302820298,51.77607743046838,-15.776077430468336,1043.0,0.4940786357176693,1068.0,593.0,0.4933444259567388,609.0,111.0,130.0,0.4605809128630705,228.0,251.0,0.5155807365439093,171.0
Leo Carlsson,8484153,2004-12-26,ANA,59745.439999999995,995:45,55,1086.2807272727273,18:06,12,17,29,-13,109,0.11009174311926606,F,60.475996734075,-12.47599673407498,44.66297859301175,-5.66297859301173,1033.0,0.5583783783783783,817.0,557.0,0.555333998005982,446.0,127.0,108.0,0.5404255319148936,286.0,166.0,0.5166666666666667,117.0
Aliaksei Protas,8481656,2001-01-06,WSH,64297.70333333334,1071:38,78,824.32952991453,13:44,6,23,29,-2,107,0.056074766355140186,F,46.72388772276324,1.2761122772367932,51.705776869820895,-2.7057768698209097,923.0,0.451786588350465,1120.0,472.0,0.4538461538461538,568.0,113.0,120.0,0.4849785407725321,252.0,270.0,0.5492063492063493,143.0
Alexander Holtz,8482125,2002-01-23,NJD,57162.570000000014,952:43,82,697.1045121951221,11:37,16,12,28,-15,120,0.13333333333333333,F,43.561706773206694,-4.561706773206657,43.33589726041093,-3.3358972604109263,897.0,0.5164075993091537,840.0,459.0,0.4930182599355531,472.0,97.0,107.0,0.4754901960784313,221.0,185.0,0.5514705882352942,122.0
Cam Atkinson,8474715,1989-06-05,PHI,67042.96666666666,1117:23,70,957.7566666666664,15:58,13,15,28,-20,179,0.07262569832402235,F,55.69618950955394,-9.696189509553912,48.19625311965022,6.8037468803497445,1149.0,0.5206162211146352,1058.0,648.0,0.5644599303135889,500.0,125.0,121.0,0.508130081300813,244.0,266.0,0.4933774834437086,152.0
Joe Veleno,8480813,2000-01-13,DET,66975.17666666667,1116:15,80,837.1897083333333,13:57,12,16,28,-16,87,0.13793103448275862,F,42.55662788803954,5.443372111960465,56.03044636717772,-3.0304463671777557,953.0,0.4594985535197685,1121.0,502.0,0.4597069597069597,590.0,90.0,121.0,0.4265402843601896,237.0,272.0,0.5653409090909091,153.0
Ryan Poehling,8480068,1999-01-03,PHI,69313.38,1155:13,77,900.1737662337663,15:00,11,17,28,-11,123,0.08943089430894309,F,52.37587645723739,-12.375876457237414,55.61364306128666,4.386356938713341,1046.0,0.4514458351316357,1271.0,580.0,0.5092186128182616,559.0,130.0,127.0,0.5058365758754864,196.0,304.0,0.497005988023952,168.0
Pierre Engvall,8478115,1996-05-31,NYI,68048.39666666665,1134:08,74,919.5729279279276,15:20,10,18,28,4,128,0.078125,F,67.33324439135637,-22.333244391356427,48.9021957103442,-14.902195710344197,1242.0,0.54,1058.0,662.0,0.5498338870431894,542.0,175.0,126.0,0.5813953488372093,281.0,229.0,0.5343283582089552,156.0
